Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,37.56345178,36.58174098,37.55760369,35.60133167,35.39706436,36.19386394,,,,,,,,,,45.78791501,38.91387709,38.43336332,43.28715764,48.08938998,36.33030188,40.86262764,39.45954672,48.40421112,43.3110431,52.10661323,44.61891925,42.1616017,48.65124673,47.14429011,44.85690174,43.70697118,43.93535208,43.93602576,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,82.72985348,79.9856141,,,78.86820421,,,,72.84144427,,,,,,,,,,,,,,,,,,,,,,,,,,,54.95463104,54.93588439,53.8070052,54.39680357,53.76884422,52.77685057,52.77685057,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,44.42469783,45.24989935,44.3802286,44.77981334,45.61004202,48.06000631,48.82000263,,,39.31427382,36.5228199,37.64595808,37.44349101,36.17254706,37.90605583,36.66605939,37.09247012,38.26485763,38.74816309,,43.26048836,43.07074385,43.51838365,43.3605056,42.78187444,40.45061112,40.23096767,39.52269028,38.79393547,38.83914481,38.96263586,38.67851738,36.28368602,36.41386369,38.3311284,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.80886758,40.9169274,40.56746151,40.93659317,40.47510301,47.8596831,38.32695536,39.55158133,37.03920172,33.80782928,29.97283421,29.97283421,51.2592639,31.44685574,31.44685574,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,47.72518382,47.73628208,48.27137546,48.39726747,48.64993647,48.9414878,48.32484589,48.8662544,48.95072993,48.57585139,48.86045208,50.10277884,50.07888509,48.9355411,49.20345689,48.73021352,49.64372689,51.01506988,51.35049921,51.26570172,49.20981627,50.13425953,51.40021361,50.80403576,50.18675572,51.11716723,52.09776228,53.01831206,53.14852315,58.36247086,47.94493194,48.15274775,52.76059941,52.76059941,52.2476288,51.22857733,50.62625095,50.90364797,51.68106123,54.54116762,56.21849966,55.78113583,57.22477516,57.80642217,50.49657501,50.65029373,47.73346163,45.351992,49.18668608,53.33777913,45.38859891,45.32415731,44.88403409,43.85740186,45.97124607,46.78189848,
Austria,,,,48.19346383,48.54052969,48.26071815,47.94701744,47.61562301,48.2588356,49.23736404,52.89306702,51.23502149,51.67515862,53.30201986,56.51350276,55.36346848,53.29197702,53.0902437,54.38390533,54.22843827,52.37218626,51.96287855,52.00576052,53.87593512,52.64907389,52.43026005,54.144433,54.12044731,54.78793691,56.11155385,50.86272308,50.63244041,51.00327967,50.23794666,50.723965,55.15434986,55.302618,54.86163716,54.39412476,55.09762962,53.96509538,55.52207227,54.93357287,54.28873281,54.82191862,53.20325585,53.56696213,55.68358036,54.80444119,53.00981947,51.96756662,50.55102048,51.22642384,49.94188631,49.62858422,49.62275834,49.36652389,49.47703513,49.4770362,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.13212952,39.87447041,44.90786528,49.68752952,48.32622072,67.93088154,66.32185128,75.08351367,63.41602949,63.6101064,59.96701807,60.46017796,59.74751202,60.79655397,54.4911367,50.97377324,57.47924065,57.47924067,
Burundi,,,,,,,,,,,,15.93927406,18.47368934,15.3124366,16.90953501,24.35699708,19.16628074,21.47678652,14.7393825,8.078957445,8.278083754,,,9.379342807,,,7.894611915,7.168138581,7.051027533,6.90364481,6.920033077,6.726691839,,,,,,,,,,,,,,,,13.50437026,9.485748919,7.208055857,11.38571694,6.996182125,8.928682325,8.975091699,8.975091699,8.975091698,,,,
Belgium,,,,44.57929366,45.84926573,45.85756052,45.42199602,45.6970388,45.29592991,46.39743737,46.18539255,44.31325201,44.07234251,48.33070388,50.12313914,49.44914965,48.92752312,49.3232896,47.90715765,48.27182681,48.44049168,46.73614044,45.3747783,43.95694222,43.27499519,59.26161118,58.36472596,59.42020822,61.95047456,62.10839035,62.37671641,61.04954848,60.50695112,60.55986401,60.28585357,45.15918985,44.28759573,44.31408812,43.92145451,42.81548659,43.88467382,42.32574509,42.32574509,42.98680581,43.5404161,43.11877452,42.56599987,45.3249081,44.50806219,41.56906139,51.82908701,49.25870653,37.34732517,34.3327655,34.8431772,36.56929652,35.0416198,35.25735896,35.25724558,
Benin,,,,,,,,,,,,,,,20.72809787,22.45848522,22.50602938,21.9379627,23.68959108,20.57013786,20.63596974,20.63627981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,21.134441,21.4255426,21.16068782,20.90937612,20.59679118,19.17979503,18.12130711,19.32292131,18.37238152,15.67103874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,12.49776448,14.23268811,12.6454246,10.76513687,9.959045951,8.562076917,10.48463881,10.24622846,14.47538188,15.52769538,17.69549799,16.02366572,17.32735294,16.13123506,18.2733727,20.71058426,20.79621585,22.42240325,24.05149753,19.39989896,19.38834067,20.29354088,17.0198491,17.94476661,15.71609251,16.0735007,,,15.56299093,,,20.65193925,,,,,,,,46.35065944,,,,,28.60297341,28.60297343,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.75792744,42.25965496,38.92787283,38.49319405,41.43884892,36.4021805,35.50087873,38.20224719,46.29981025,46.91676059,48.8821578,50.37593985,43.68254433,44.4181148,45.00929944,47.26812073,42.51830801,40.43873729,44.22318422,48.19782752,51.37943389,52.30728721,49.27181067,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.07529197,72.81064606,69.21433706,68.38265011,67.14178529,67.8350338,72.11325511,68.77233396,65.04895644,65.3204778,65.73170073,66.0354535,64.45734119,62.01085988,62.21938656,71.60912482,71.60912482,71.60912481,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,8.357134879,,,16.70552225,27.31824469,,37.6042367,31.64529299,26.30987845,27.78259373,,,23.50421893,24.76467119,23.03474623,16.78044184,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.10224793,49.76571602,,,,,,,,,,,,,,,,,,,50.24420581,49.4367439,47.97145701,51.04997141,52.81272121,51.87478961,51.61167851,53.8772067,53.87720666,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17903728,38.17903733,38.17903736,38.17903732,37.94894317,32.33310255,30.9777715,34.2946473,34.4183608,32.51019192,35.25425556,30.45801834,31.33264284,31.33264283,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.46731276,22.87694794,22.42040489,20.53971247,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.17776588,73.17776584,73.17776676,73.20679578,73.20679638,73.20679762,73.20679615,73.20679662,73.2067973,73.53891784,74.52603773,73.33946975,73.20679675,73.20679703,73.20679555,73.20679762,73.20679628,73.32697856,69.9113747,68.25614312,70.62385283,73.15171841,73.15171653,
Bolivia,,,,,,,,,,,19.43462898,19.47449768,23.30226365,16.04938272,22.02486679,23.42116269,23.79773692,32.55140458,31.80805831,33.84300341,54.80464625,51.28702398,52.69311997,31.15689498,33.16643267,26.35375944,61.83008058,58.36430036,63.26247987,58.4635576,63.72475055,62.22164456,58.397773,59.6560317,57.72588862,55.77405137,60.68895396,59.06921426,55.23056407,50.92855265,53.56023977,52.09905169,52.09903597,52.09903597,52.09903597,52.09903595,34.7270032,34.7270032,34.7270032,34.72700319,34.66512785,83.62782647,37.76239106,37.76239106,37.76239106,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.13373948,,37.19606636,35.51679338,34.76650854,34.81216739,37.94287427,38.00587314,39.76510601,41.11921018,44.95103151,42.59239858,43.12084006,44.24168418,44.29804627,45.20872741,45.04379229,44.23312953,46.42652219,44.6069152,42.83692767,40.91360598,39.95327199,40.7785822,42.35058929,37.86406161,40.42928968,37.79897123,37.79897123,
Barbados,,,,,,,,,,,31.48895922,30.32928427,29.57608544,31.5479626,28.03699897,25.16030584,28.46266212,28.96834343,23.90997322,26.62315427,32.52697021,22.74427188,24.83051101,16.7881132,12.22700291,14.99128639,19.34259716,25.03609731,26.090849,29.86999909,31.39185124,29.35257484,27.39880251,22.47619921,22.49705347,23.13134163,22.7015222,22.70153116,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,42.25663717,34.48275862,37.44131455,34.14634146,34.59770115,29.40705128,23.86296515,30.67770305,,,,29.38031592,35.04235399,33.82642998,36.18954885,66.16210266,33.67744896,69.25739148,72.02270107,74.65891661,74.92370674,76.45968489,75.0981528,75.7814871,73.62296776,71.95694438,75.15808491,72.15405829,69.08821826,67.8766469,66.88782062,68.28090508,71.11638824,72.80067517,73.48615706,73.45033757,74.18023458,74.18023458,
Central African Republic,,,,,,,,,,,,,,5.411919369,3.403698249,5.334685598,7.306477093,7.410911384,5.99375244,,10.36861817,12.45819398,13.08779245,43.86000819,,34.93431856,41.07938803,25.32543126,23.62275205,30.90718772,27.82413161,12.51754603,22.57684376,20.00454907,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,52.87267081,52.98245614,52.88522511,52.8115942,51.4516844,51.7374121,51.50314612,52.4173978,52.34809608,53.0267462,54.24141966,55.50686532,54.08416481,54.33607521,54.12553946,53.85887541,54.01119403,54.84193964,53.06487696,51.10444505,50.53263132,50.49431275,50.53763441,51.16171004,52.94564483,52.59147492,51.29319873,45.97925515,43.77780345,42.8488501,43.30938731,44.58686164,45.82021823,44.65662552,44.1973422,43.91724694,41.83791488,45.131274,45.98327367,46.39454476,46.71941116,49.95978112,49.23458184,49.62135015,48.16070539,49.11919643,46.67454021,47.83838535,47.00632863,46.79787313,46.76330501,46.29563421,45.22121527,44.98769707,46.42847564,46.42847564,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,66.34787565,67.3319008,68.73780329,69.67094167,68.94127378,69.46493852,68.54046777,69.76798718,70.7366467,71.42287668,71.28396246,51.68036985,51.65321814,53.71071208,53.55696562,56.85590457,51.93462012,49.62067997,51.74761632,49.13782869,49.48237183,49.25722568,48.91425022,35.64020138,34.67736653,35.72750395,32.96935612,32.53604684,31.71657601,30.26284758,30.67507431,59.43595521,58.69784886,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,40.11976048,39.28571429,39.17525773,38.5840708,39.46666667,52.02646816,55.46218487,58.71198569,57.3403373,48.10839345,41.27749847,58.38153718,54.8824343,51.03438368,45.12954625,44.19910625,50.44248785,52.36688049,51.95206386,51.43012763,55.50076036,55.78732785,57.88449813,55.28975594,55.69824812,56.09903768,56.49273983,53.66589717,50.28173195,49.45282578,48.91442671,49.27770541,,,,,,,,,,,,,,,,,,,42.62663269,43.18220277,56.96805736,51.95832901,37.26980898,55.55457963,
China,,,,,,,,,,,,,,,,,,,,,41.79020115,40.73475267,41.35893444,42.59045589,42.94971572,44.97354497,45.36922776,44.37683843,43.43526325,43.48635383,42.01180417,42.81959379,43.75175253,48.12126699,46.50553627,47.78859685,46.1420135,45.61801802,45.6868461,46.42018431,48.28103101,48.4457346,47.92802496,38.39629602,40.3077731,40.80704312,41.94684807,42.93868159,42.93868159,42.93868159,42.93868159,42.84468278,42.84468278,42.84468278,42.84468278,42.84468278,42.84468278,42.84468278,42.84468278,
Cote d'Ivoire,,,,,,32.38724533,46.60120846,46.3571206,42.97812675,44.90033981,41.7336286,38.96582896,38.80338924,42.2574572,37.07593592,41.22787315,38.69911295,39.30521153,39.97910193,37.10364322,35.58425237,36.47501356,33.11016514,,,,38.2892057,42.29249012,40.07561437,-37.14285714,,,,,43.34119845,37.89854611,35.5610778,34.0536532,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,27.37479556,23.15087166,21.32413116,,22.9420822,21.32581649,22.31676317,22.82039543,23.42593003,22.64291017,29.22117045,34.8495747,33.97366277,34.91342167,35.0508175,,,,,46.96286612,47.08103372,42.40346461,35.42405657,43.5115108,57.72493395,48.05397864,42.48341958,47.93346774,48.64547746,32.26148042,43.18104075,50.71446153,47.03529974,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,25.77777778,30.20532319,29.39210103,36.39737721,39.01600474,43.70139969,40.58117151,34.93437587,38.95025017,35.29520466,,,,44.49519395,50.95128997,50.21783994,39.56992241,43.34641164,34.90135453,39.35251799,34.89732521,,,,,,,,,,,,13.93180306,16.70527364,20.11351253,18.29738562,20.98282911,22.49766355,28.6449827,28.7108508,23.74268877,21.24437044,,,,,,,,,,
"Congo, Rep.",,,,,,,,,25.77777778,30.20532319,29.39210103,36.39737721,39.01600474,43.70139969,40.58117151,34.93437587,38.95025017,35.29520466,,,,44.49519395,50.95128997,50.21783994,39.56992241,43.34641164,34.90135453,39.35251799,34.89732521,,,,,,,,,,,,13.93180306,16.70527364,20.11351253,18.29738562,20.98282911,22.49766355,28.6449827,28.7108508,23.74268877,21.24437044,,,,,,,,,,
Colombia,,,,32.49315693,31.08603109,30.1457976,32.30379747,30.60084443,32.07402959,32.68947756,31.84093437,30.867571,31.51460864,31.99077928,33.00725371,32.76390875,33.75430645,36.62192288,34.59091518,33.3524235,38.56357262,38.0116804,35.03776784,34.62700852,35.01346773,32.27451834,32.19262561,34.36208281,35.07795402,34.7661503,34.21802157,33.78836216,35.70028283,34.99195394,35.97093885,37.02994357,37.55992501,37.12510301,36.045716,36.80259118,39.01753027,39.14474471,39.46262971,42.33435239,44.75894967,45.10784531,46.70225192,47.87516288,44.82143793,42.46421829,34.27831903,44.15403112,43.61313535,43.9965735,42.52170711,40.46228209,36.07275949,35.19709928,35.19709928,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,22.5343474,23.39651097,24.95054104,25.55945464,26.95699362,28.85249764,29.42167913,29.20196166,29.38551048,29.97339852,29.64395404,30.91101436,30.78774475,30.69987355,29.06353089,28.87695215,29.64258716,31.49656439,30.40614266,31.10953149,29.10099023,31.16909442,30.46394008,31.83982851,34.91109191,34.24800406,33.63975858,33.13001159,36.75314126,35.48232274,34.52357173,35.42988599,34.71002377,33.41911153,32.95079438,32.23171905,31.82102557,33.44433742,35.50869842,38.06683998,36.88189049,37.81536626,39.31799453,42.45686898,43.55182034,42.75610875,37.44522225,39.91966513,39.51715246,39.35964169,38.64506779,40.12364541,41.36047015,43.56056377,44.61100585,44.61100585,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,17.01110978,17.65731544,18.46180922,17.29656496,18.39007501,16.77782854,15.04946093,16.74706735,15.59311816,14.66346154,15.73200074,14.14528407,12.96871665,13.13415602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,32.96683825,30.42991492,29.75313264,30.71561672,33.38740079,35.40760259,35.61724566,36.57592172,36.40535911,42.33099689,43.42245584,39.86186464,41.06596956,40.4917162,39.61535655,41.40283655,43.2564998,39.6236551,39.52459694,39.45122695,38.1032202,36.99210215,40.08056609,40.79493552,39.45396478,39.2880152,40.19102729,40.7344171,41.22261237,40.23395289,41.58282064,41.76109319,43.36127033,44.3684432,43.93248394,43.79899961,45.76124632,46.24697698,45.51008989,46.09768147,47.26910487,47.77518817,53.93702019,59.37691824,61.72674089,53.53539637,49.55015809,46.05815683,45.88653605,42.20479823,35.86353359,35.32221319,34.06654543,35.19579781,35.4346792,35.43467917,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.07693504,,,,51.42746325,,,,53.09661762,,,51.04283394,53.72882035,51.86784824,50.59296982,50.78843368,49.92800898,49.67161475,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.40559253,47.97654602,47.12405258,45.46305456,44.83634791,44.03218022,44.68723659,44.59526992,45.09973584,43.82112091,43.06634284,40.67369168,39.51484264,39.0129659,38.70889384,38.46573614,37.53470891,36.72842911,36.25689191,36.49431802,36.49431923,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,43.50479512,44.21455939,46.45183408,44.67821782,44.79166667,44.39178515,45.35568645,46.48979592,45.39196941,45.23169913,44.50669157,44.03694648,41.47296944,41.71696848,40.76230492,42.33475282,43.08199967,42.45098039,40.26585433,40.44072387,39.85859479,41.72526493,42.61332852,44.42463738,44.96222683,44.39070082,44.46531394,44.26435756,42.86528583,40.71533516,40.72171021,41.30957786,45.95404717,46.76510901,45.04252864,46.43670262,47.00894951,48.48406055,47.74295212,47.80214324,46.80245621,47.28770199,47.89147852,49.85457162,50.81789339,79.20611881,37.27990273,35.17564802,35.02665702,35.0421509,34.44225831,33.97288901,34.55049638,33.52452938,33.19589994,33.19545541,
Dominican Republic,,,,12.05487449,14.24296165,14.7147673,14.5593246,16.03909465,16.47299557,15.38291962,14.17610388,15.87721742,17.516416,20.68440952,18.73207336,15.12151607,14.71910168,17.13747602,17.81183779,19.57321878,21.64220071,21.31048993,25.04352671,26.74771228,27.72862297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,29.64946446,31.40218304,34.73722102,37.90849673,35.41967119,37.74376697,35.81745866,42.31865001,42.86561265,46.13511869,46.82296523,46.0488291,45.59065482,46.03390315,45.38588049,45.66374536,50.49159814,56.96535643,56.58902897,57.67285418,55.81812977,56.62608371,53.50605892,60.04661162,64.82679702,62.28497993,56.75767711,50.65019607,43.18858176,47.70264335,,,,,,,,,,,39.47718636,40.44899951,40.03839048,44.27785758,93.39945495,92.68476148,91.95731472,90.80108418,86.10186491,86.10186491,86.10186491,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
